company,headline,sentiment,date
Boeing Corporation,The New York Times Ending the Boeing Strike Won’t Be Easy. Here’s Why. The vehemence of workers over wages and other issues caught the company and union leaders off guard. . 14 Sept 2024,0.34,
Boeing Corporation,"PBS As Boeing Agrees to Plead Guilty to Fraud, a Look Back at What Led Up to the 737 Max Crashes That Killed 346 People Boeing could avoid a federal criminal trial if a judge approves the agreement. 'Boeing's Fatal Flaw' probed the events that led up to the Lion Air and... . 8 Jul 2024",-0.926,2024-07-08
Boeing Corporation,"Mint Boeing’s Endless Doom Loop Gives No Respite to New CEO Ortberg As Boeing Co. lurches from one crisis to the next, there's been one constant for the embattled planemaker: Its predicament appears to be only getting worse. . 13 Oct 2024",-0.9022,2024-10-13
Boeing Corporation,"CNBC Boeing's new outsider CEO Ortberg takes the helm, this time from the factory floor Robert K. “Kelly” Ortberg is the Boeing's new president and chief executive officer, effective August 8, 2024. Ortberg will also serve on Boeing's Board of... . 8 Aug 2024",0.4767,2024-08-08
Boeing Corporation,Financial Times Boeing managers prepare for details of cost-cutting measures US aerospace group has said it will axe about 17000 jobs from its global workforce. . 13 Oct 2024,-0.1027,2024-10-13
Boeing Corporation,"YouTube · Simple Flying Boeing's Ultra-Expensive C-17 Soap Dispensers: Company Accused Of Overcharging Air Force On October 29th, Reuters reported that a Pentagon watchdog report had revealed that Boeing had overcharged the US Air Force for spare parts. . 8 Nov 2024",-0.296,2024-11-08
Boeing Corporation,PBS Boeing reports $6 billion quarterly loss amid 6-week factory worker strike Boeing has reported a third-quarter loss of more than $6 billion while waiting to see if striking factory workers will accept the company's latest contract... . 23 Oct 2024,-0.3612,2024-10-23
Boeing Corporation,AirlineGeeks.com Boeing Curbs Corporate Jet Trips in Latest Cost Cut Boeing Curbs Corporate Jet Trips in Latest Cost Cut. The company is cutting back on spending to tackle its $58 billion debt load. ... Boeing CEO Kelly Ortberg... . 29 Nov 2024,-0.7351,2024-11-29
Boeing Corporation,"Financial Times Boeing imposes hiring freeze and purchasing cuts to conserve cash Boeing has announced a hiring freeze and cuts to purchases from some suppliers, telling workers temporary furloughs could follow as it moved to conserve cash. . 16 Sept 2024",-0.5267,
Boeing Corporation,Financial Times Boeing cruising towards a mega equity raise A company whose credit rating falls from investment grade to junk status is known as a “fallen angel”. Boeing's descent into the high-yield netherworld is... . 16 Sept 2024,0.3818,
