company,headline,sentiment
Proctor Gamble Corporation,"ResearchGate
(PDF) Employee empowerment at Procter & Gamble
Content may be subject to copyright. Employee empowerment at Procter & Gamble. Course title: Compensation Management. Contents. Introduction .
.
8 Sept 2022",0.0
Proctor Gamble Corporation,"Investopedia
Higher Prices Drive Procter & Gamble's Better-Than-Expected Earnings
Procter & Gamble (PG)'s first quarter earnings for fiscal 2024 topped analyst expectations as higher prices boosted the company's sales of household...
.
18 Oct 2023",0.3612
Proctor Gamble Corporation,"Bloomberg.com
Fierce Demand for P&G Bond Spotlights Buyers Wary of Fed Cuts
Procter & Gamble Co.'s $1.35 billion debt sale is flashing one of the clearest signals yet that investors are binging in corporate debt markets before the...
.
24 Jan 2024",-0.7717
Proctor Gamble Corporation,"Reuters
Procter & Gamble raises sales forecast as demand stays price resistant
Procter & Gamble Co raised its full-year sales forecast on Wednesday as consumer demand for cleaning and personal care products remainedstronger than...
.
20 Apr 2022",0.296
Proctor Gamble Corporation,"Global Cosmetics News
Procter & Gamble names Brett Biggs to its Board of Directors
Procter & Gamble has announced that Brett Biggs, former EVP and CFO of Walmart, has been elected to its Board of Directors following its 2023 Annual Meeting of...
.
13 Oct 2023",0.0
Proctor Gamble Corporation,"Insider Monkey
Top 20 Dividend Stocks of 2024
Number of Hedge Fund Holders: 68. The Procter & Gamble Company (NYSE:PG) is an American multinational consumer goods company specializing in a wide range of...
.
30 Dec 2024",0.2732
Proctor Gamble Corporation,"The Business Journals
Procter & Gamble lands major site plan approval for manufacturing plant
Nearly two years after acquiring a large site in Arizona for a manufacturing campus, Procter & Gamble has submitted site plans for an initial phase of its...
.
15 Nov 2024",0.4767
Proctor Gamble Corporation,"CNBC
Procter & Gamble tops earnings, revenue estimates even as higher prices drive some consumers away
Procter & Gamble's shares have fallen 3.7% this year, dragging its market value down to $344 billion.
.
18 Oct 2023",0.6597
Proctor Gamble Corporation,"Business Strategy Hub
Top 10 Procter & Gamble Competitors & Alternatives
Procter & Gamble is one of the best-known consumer goods companies in the world. They are behind so many products we use daily that you probably have more...
.
4 Apr 2023",0.2023
Proctor Gamble Corporation,"The Business Journals
Procter & Gamble buys back Kansas City plant it once planned to shut down
Procter & Gamble Co. in late April re-acquired its 574000-square-foot soap plant in Kansas City, Kan. The Cincinnati consumer goods company had sold the...
.
15 May 2023",0.0
