,Open,High,Low,Close,Volume
2022-08-18,147.4,147.44,145.38,146.68,5654302.0
2022-08-19,144.61,145.65,143.21,145.2,12713248.0
2022-08-22,143.28,143.68,141.03,141.59,10183357.0
2022-08-23,141.0,142.42,140.71,141.75,15358361.0
2022-08-24,140.91,141.59,139.71,141.04,15430538.0
2022-08-25,141.07,143.27,140.64,142.76,47355610.0
2022-08-26,143.64,144.01,128.68,129.14,38384100.0
2022-08-29,128.79,128.79,125.27,126.44,50064338.0
2022-08-30,126.89,127.74,123.0301,124.86,34478535.0
2022-08-31,124.85,126.46,123.61,124.35,31642145.0
2022-09-01,124.3,126.39,123.67,125.63,31014352.0
2022-09-02,126.03,126.37,121.15,121.65,12321035.0
2022-09-06,121.36,121.5,115.98,116.6,28709647.0
2022-09-07,116.64,121.245,116.02,120.55,37568710.0
2022-09-08,118.39,119.79,117.16,119.27,25741436.0
2022-09-09,121.27,123.285,119.87,123.1,26220314.0
2022-09-12,124.32,126.52,123.97,124.25,18971902.0
2022-09-13,122.11,124.6,120.225,120.47,7765463.0
2022-09-14,120.585,120.585,116.31,117.53,5670514.0
2022-09-15,117.82,118.74,116.07,116.42,4052770.0
2022-09-16,114.7,117.31,114.11,116.61,7261931.0
2022-09-19,116.01,116.91,115.28,116.64,3190303.0
2022-09-20,115.3,117.2,114.75,116.52,4155161.0
2022-09-21,116.83,118.03,114.8,114.81,3735821.0
2022-09-22,114.16,115.05,113.43,114.14,3656931.0
2022-09-23,113.73,114.17,111.62,112.99,3683736.0
2022-09-26,112.76,113.81,112.23,113.0,3598144.0
2022-09-27,114.13,114.13,111.42,112.41,3324265.0
2022-09-28,113.51,114.71,113.06,114.28,3677791.0
2022-09-29,112.96,113.4,111.6,112.3,2315860.0
2022-09-30,112.0,113.15,110.39,110.5,3112788.0
2022-10-03,111.69,114.02,110.91,113.22,2915965.0
2022-10-04,114.74,115.9799,114.69,115.62,2802675.0
2022-10-05,114.34,116.1,113.42,115.17,2560131.0
2022-10-06,114.35,114.94,110.21,111.12,4328135.0
2022-10-07,110.37,110.76,107.085,107.52,4296470.0
2022-10-10,108.53,109.12,107.19,108.46,2582369.0
2022-10-11,108.495,110.45,107.95,108.84,2895358.0
2022-10-12,108.57,109.7,108.245,108.95,2751148.0
2022-10-13,107.5,114.83,107.07,114.26,4772741.0
2022-10-14,114.26,115.16,112.85,113.63,3460027.0
2022-10-17,115.31,115.715,113.29,113.86,3003664.0
2022-10-18,115.74,116.4,114.45,115.95,2564178.0
2022-10-19,115.1,115.68,113.24,114.2,2578747.0
2022-10-20,113.98,115.65,112.89,113.11,3142888.0
2022-10-21,113.15,116.94,113.05,116.81,3342468.0
2022-10-24,117.53,119.14,117.19,118.38,3394104.0
2022-10-25,113.51,118.6,113.15,118.5,5014713.0
2022-10-26,119.59,123.29,119.59,122.7,4629026.0
2022-10-27,123.49,124.45,122.0267,122.8,3716587.0
2022-10-28,122.98,126.67,122.51,126.6,3812614.0
2022-10-31,126.1,126.45,125.36,125.79,4326370.0
2022-11-01,126.77,127.1,124.5746,125.3,2131855.0
2022-11-02,125.04,126.81,122.65,122.86,2561872.0
2022-11-03,121.98,124.28,121.12,122.85,2006927.0
2022-11-04,124.46,125.37,123.16,124.84,2320755.0
2022-11-07,124.63,125.15,123.3,124.68,1914378.0
2022-11-08,125.36,126.64,124.04,125.35,1824829.0
2022-11-09,125.29,125.68,123.72,123.83,1782368.0
2022-11-10,127.66,129.26,126.8701,129.15,3159731.0
2022-11-11,129.59,133.49,129.15,132.98,3429332.0
2022-11-14,132.55,133.91,130.94,131.03,2615354.0
2022-11-15,132.52,133.4799,129.77,131.22,2515050.0
2022-11-16,131.445,131.445,128.41,128.74,3208298.0
2022-11-17,126.15,127.22,124.67,127.15,2249472.0
2022-11-18,128.0,128.34,125.9,126.76,3176446.0
2022-11-21,126.64,127.88,126.23,127.63,2153620.0
2022-11-22,128.15,128.67,127.32,128.6,1757291.0
2022-11-23,128.59,129.12,127.24,128.0,2349904.0
2022-11-25,128.88,129.82,128.52,129.04,882383.0
2022-11-28,128.11,128.58,124.12,124.64,2774046.0
2022-11-29,124.08,126.34,124.01,126.13,1863156.0
2022-11-30,125.9,126.25,121.36,125.97,5830640.0
2022-12-01,127.3,128.8669,125.31,125.99,2638939.0
2022-12-02,124.76,127.25,124.24,126.99,1821877.0
2022-12-05,125.07,125.46,124.27,124.63,2143071.0
2022-12-06,125.15,125.73,123.31,124.58,1919505.0
2022-12-07,124.33,127.31,124.1,126.35,2701571.0
2022-12-08,127.0,129.44,125.45,126.0,3785398.0
