,Open,High,Low,Close,Volume
2022-10-13,131.35,142.55,130.65,141.55,5232724.0
2022-10-14,142.96,143.88,136.14,136.81,3873599.0
2022-10-17,140.58,142.22,140.09,141.54,3139254.0
2022-10-18,146.13,147.05,143.55,145.99,3963269.0
2022-10-19,145.43,147.07,142.6,143.97,2804054.0
2022-10-20,144.0,147.315,142.15,142.42,4319336.0
2022-10-21,140.99,141.32,132.21,140.04,11755398.0
2022-10-24,141.3,143.79,140.37,141.63,4299569.0
2022-10-25,142.48,147.44,141.6,147.02,3889104.0
2022-10-26,147.56,149.5,146.47,146.88,3560551.0
2022-10-27,148.44,149.71,146.41,146.97,2101525.0
2022-10-28,146.56,150.91,146.05,150.44,3383315.0
2022-10-31,150.0,150.3,148.32,148.45,3043149.0
2022-11-01,149.96,150.63,146.63,147.08,2675699.0
2022-11-02,146.58,149.03,143.3701,143.5,2852089.0
2022-11-03,141.09,142.2,138.77,139.31,3960528.0
2022-11-04,142.4,146.356,141.0,144.72,3322250.0
2022-11-07,146.2,147.54,143.76,146.98,2917984.0
2022-11-08,147.44,151.34,147.1375,150.2,3846057.0
2022-11-09,149.47,149.47,145.66,145.86,2425496.0
2022-11-10,152.79,155.79,151.31,154.75,4701614.0
2022-11-11,156.49,158.88,154.7,154.89,3714598.0
2022-11-14,153.37,156.5,153.06,154.13,3666615.0
2022-11-15,156.96,157.35,152.32,153.89,2917022.0
2022-11-16,154.21,155.91,151.854,152.57,2635283.0
2022-11-17,150.0,151.0623,149.22,150.64,2769983.0
2022-11-18,152.25,153.76,150.9375,152.5,2631321.0
2022-11-21,152.25,153.46,151.89,152.81,2003541.0
2022-11-22,154.1,155.145,153.285,154.58,2124751.0
2022-11-23,153.83,154.99,152.88,153.93,1404497.0
2022-11-25,153.52,154.47,153.17,154.15,665794.0
2022-11-28,152.69,153.78,150.37,150.87,1783271.0
2022-11-29,150.96,154.47,150.525,154.42,2655744.0
2022-11-30,153.84,157.59,151.4831,157.59,3914739.0
2022-12-01,157.72,158.87,154.75,157.5,2670351.0
2022-12-02,155.22,157.28,155.0,156.75,2285397.0
2022-12-05,155.96,159.445,155.55,156.08,3013097.0
2022-12-06,155.75,158.34,153.321,154.7,3285269.0
2022-12-07,154.56,156.99,154.3101,154.77,2879830.0
2022-12-08,155.89,156.42,153.45,154.12,1632502.0
2022-12-09,153.99,155.14,152.6168,153.9,1761275.0
2022-12-12,154.26,157.76,154.0,157.31,2773937.0
2022-12-13,160.62,161.55,156.16,157.52,3110544.0
2022-12-14,157.57,158.62,153.84,154.11,3556245.0
2022-12-15,151.65,152.28,146.47,150.22,4284799.0
2022-12-16,148.59,148.59,144.15,146.3,4510826.0
2022-12-19,146.04,146.74,143.66,145.01,2546222.0
2022-12-20,144.99,146.5,144.25,145.7,1607973.0
2022-12-21,147.06,147.7777,146.37,147.1,2107058.0
2022-12-22,146.05,146.7,142.72,145.31,2901666.0
2022-12-23,145.23,147.1391,144.52,147.02,1671830.0
2022-12-27,147.29,147.86,145.67,146.39,1858526.0
2022-12-28,146.21,146.82,143.94,144.01,1490160.0
2022-12-29,145.08,147.62,144.4001,147.32,1758641.0
2022-12-30,146.01,147.93,145.73,147.75,2247443.0
2023-01-03,149.54,150.45,145.73,147.12,2762338.0
2023-01-04,148.56,151.96,148.56,150.54,2620388.0
2023-01-05,147.16,148.72,146.02,146.43,2505858.0
2023-01-06,147.74,150.43,145.48,150.17,3077593.0
2023-01-09,151.35,152.445,150.1,150.4,3219406.0
2023-01-10,150.51,152.18,149.28,152.0,2198389.0
2023-01-11,152.3,154.11,152.27,153.92,3113699.0
2023-01-12,154.76,155.748,152.4,154.92,3322481.0
2023-01-13,153.24,156.25,152.3,155.76,2391262.0
2023-01-17,155.54,156.1,153.37,153.75,3073414.0
2023-01-18,154.49,154.7599,150.3205,150.42,2762417.0
2023-01-19,146.61,148.0,144.2,146.85,3852474.0
2023-01-20,147.96,151.78,147.72,151.6,3954780.0
2023-01-23,152.0,155.06,151.55,154.0,3608652.0
2023-01-24,154.0,156.67,152.6601,155.33,2348501.0
2023-01-25,153.49,157.055,153.37,156.77,2916452.0
2023-01-26,157.65,158.2299,154.285,155.88,3640253.0
2023-01-27,166.8,175.5416,165.5,172.31,13997338.0
2023-01-30,174.79,177.86,172.5108,172.66,10240662.0
2023-01-31,172.91,175.31,171.895,174.93,5170928.0
2023-02-01,173.38,175.12,171.93,173.61,3725218.0
2023-02-02,174.16,175.22,171.08,173.13,6895514.0
2023-02-03,171.56,180.4,171.21,178.86,5305060.0
2023-02-06,176.74,177.75,175.69,176.48,3397762.0
2023-02-07,175.05,179.03,174.7482,178.7,3526392.0
2023-02-08,179.75,180.1,177.88,179.0,2926547.0
2023-02-09,179.15,182.08,178.48,179.37,3557851.0
2023-02-10,178.57,179.73,176.49,179.25,2586245.0
2023-02-13,179.24,181.3806,178.28,181.33,3102548.0
2023-02-14,180.31,182.15,178.79,181.02,2326126.0
2023-02-15,178.92,180.74,178.5,180.67,1502075.0
2023-02-16,179.48,179.88,177.68,177.94,1899103.0
2023-02-17,176.05,177.61,174.655,177.3,2355409.0
2023-02-21,175.12,176.5,173.32,173.48,2713342.0
2023-02-22,173.56,176.0229,172.93,174.7,2468774.0
2023-02-23,175.24,176.6,172.855,175.14,2575312.0
2023-02-24,173.69,174.94,172.19,174.25,1667412.0
2023-02-27,175.53,175.69,173.08,173.3,1909122.0
2023-02-28,174.01,175.335,173.58,173.99,2301391.0
2023-03-01,173.51,177.2,173.01,175.91,2566454.0
2023-03-02,174.04,175.825,172.66,175.34,1795345.0
2023-03-03,176.01,179.39,175.23,179.09,2875671.0
2023-03-06,178.56,180.515,178.46,179.06,2730912.0
2023-03-07,178.67,178.9,175.08,175.32,2906585.0
2023-03-08,175.83,176.22,173.57,174.83,2101443.0
2023-03-09,179.595,180.2674,171.955,172.12,4349449.0
2023-03-10,170.83,170.83,164.835,165.7,5104317.0
2023-03-13,161.485,161.985,157.42,157.63,6123186.0
2023-03-14,161.5,164.32,160.88,163.91,5284046.0
2023-03-15,157.91,159.955,155.93,159.81,6100774.0
2023-03-16,158.06,161.92,156.1,160.73,4738349.0
2023-03-17,158.22,158.648,154.9,156.52,7447152.0
2023-03-20,158.37,160.69,157.57,158.74,3054323.0
2023-03-21,162.94,164.57,161.7,164.56,3986761.0
2023-03-22,164.63,166.77,162.5,162.75,4367267.0
2023-03-23,162.67,166.24,160.82,162.76,3727735.0
2023-03-24,160.52,160.705,157.82,159.78,2588943.0
