,Open,High,Low,Close,Volume
2022-03-16,59.78,59.935,58.605,59.46,17347253.0
2022-03-17,59.46,60.135,59.23,60.09,15586228.0
2022-03-18,60.3,60.3,59.705,60.1,29304511.0
2022-03-21,60.5,61.1,60.245,60.58,17430567.0
2022-03-22,60.93,60.95,60.055,60.8,17306023.0
2022-03-23,60.75,60.98,59.995,60.4,15529244.0
2022-03-24,60.64,61.02,60.455,60.98,13151348.0
2022-03-25,61.12,61.61,61.05,61.53,12064706.0
2022-03-28,61.53,61.94,61.21,61.92,11485219.0
2022-03-29,62.21,62.53,61.74,62.16,14720572.0
2022-03-30,62.01,62.21,61.555,62.21,13641002.0
2022-03-31,62.22,62.64,62.0,62.0,16822902.0
2022-04-01,62.33,62.95,62.085,62.87,12644879.0
2022-04-04,62.6,62.785,61.72,62.54,11506554.0
2022-04-05,62.4,63.235,62.37,62.47,15596185.0
2022-04-06,62.77,63.26,62.3,63.1,19267420.0
2022-04-07,63.13,63.67,62.711,63.44,13960823.0
2022-04-08,63.48,64.04,63.16,63.83,12703466.0
2022-04-11,63.905,64.3,63.635,63.81,12720105.0
2022-04-12,64.38,64.805,63.89,64.56,18089907.0
2022-04-13,64.44,64.87,64.23,64.73,11882991.0
2022-04-14,64.96,65.57,64.82,65.02,16388429.0
2022-04-18,64.77,65.18,64.18,64.44,11679372.0
2022-04-19,64.5,65.25,64.44,65.07,11993775.0
2022-04-20,65.44,66.24,65.4,65.96,14682923.0
2022-04-21,65.98,67.0,65.72,66.21,15120412.0
2022-04-22,66.08,66.34,65.18,65.25,14902199.0
2022-04-25,67.0,67.2,64.78,65.94,25082000.0
2022-04-26,65.52,66.367,65.04,65.05,21736142.0
2022-04-27,65.0,66.28,65.0,65.56,16971010.0
2022-04-28,64.66,66.28,64.5,66.19,22020524.0
2022-04-29,65.87,66.03,64.49,64.61,20137147.0
2022-05-02,65.28,65.31,62.58,63.44,24970311.0
2022-05-03,63.72,63.94,62.67,63.08,21686339.0
2022-05-04,63.0,65.12,62.94,65.03,19654974.0
2022-05-05,64.69,65.03,64.01,64.51,20155236.0
2022-05-06,64.2,65.31,64.07,64.74,18984019.0
2022-05-09,64.47,65.365,64.04,64.61,20055332.0
2022-05-10,64.5,65.32,63.85,64.01,21322216.0
2022-05-11,64.33,65.2,63.96,64.31,19648404.0
2022-05-12,64.16,64.53,63.205,64.51,22574724.0
2022-05-13,64.81,65.8,64.12,65.72,16166956.0
2022-05-16,65.44,66.38,65.44,65.96,13223177.0
2022-05-17,66.1,66.1,65.01,65.78,21300589.0
2022-05-18,65.42,65.52,60.9639,61.2,31437307.0
2022-05-19,60.96,60.96,59.66,60.0,31493882.0
2022-05-20,60.49,61.235,59.66,60.98,29133763.0
2022-05-23,61.65,63.1,61.59,62.86,19406880.0
2022-05-24,62.88,64.19,62.75,64.02,16154240.0
2022-05-25,64.0,64.475,63.6,64.07,15360489.0
2022-05-26,64.07,65.095,63.96,64.3,16159829.0
2022-05-27,64.26,64.83,64.14,64.68,17708983.0
2022-05-31,64.08,64.315,63.05,63.38,43159048.0
2022-06-01,63.42,63.68,62.13,63.07,15408313.0
2022-06-02,63.18,63.735,62.11,63.73,14585979.0
2022-06-03,63.57,63.625,62.81,62.97,13539857.0
2022-06-06,63.33,63.77,62.66,62.87,15112806.0
2022-06-07,62.38,63.365,62.22,63.25,17886319.0
2022-06-08,62.99,63.21,62.555,62.89,10211450.0
2022-06-09,62.87,63.35,61.78,61.8,13391880.0
2022-06-10,61.01,61.885,60.4601,61.41,14973493.0
2022-06-13,60.75,62.291,60.67,61.34,23064194.0
2022-06-14,60.73,60.89,58.655,59.23,24620023.0
2022-06-15,60.0,60.635,58.97,59.67,19684697.0
2022-06-16,58.64,59.52,58.2528,59.07,15053843.0
2022-06-17,59.7,60.125,59.13,59.43,34781917.0
2022-06-21,59.49,60.88,59.01,60.7,17705019.0
2022-06-22,60.6,61.445,60.315,61.15,15209869.0
2022-06-23,61.3,61.91,61.2263,61.88,17190869.0
2022-06-24,62.11,63.06,62.11,63.04,18147070.0
2022-06-27,62.98,63.2867,62.63,62.91,12142112.0
2022-06-28,63.08,63.76,62.105,62.28,13181559.0
2022-06-29,62.54,63.11,62.43,62.73,11795511.0
2022-06-30,62.32,63.1144,62.16,62.91,15514153.0
2022-07-01,63.12,64.45,62.82,64.38,15143204.0
2022-07-05,64.18,64.18,62.415,63.28,15925029.0
2022-07-06,63.6,64.09,63.19,63.41,13450506.0
2022-07-07,63.26,63.58,62.7,62.91,14828434.0
2022-07-08,63.03,63.42,62.88,63.14,11311461.0
2022-07-11,62.99,63.46,62.585,62.94,12704111.0
2022-07-12,63.0,63.45,62.47,62.67,14731072.0
2022-07-13,62.33,63.0,61.9811,62.38,13145291.0
2022-07-14,61.33,62.25,61.3,62.18,14433044.0
2022-07-15,62.75,62.97,62.07,62.5,21968418.0
2022-07-18,62.52,62.56,61.51,61.65,10780844.0
2022-07-19,62.09,62.65,61.925,62.53,10998234.0
2022-07-20,62.4,62.58,61.145,61.5,11010454.0
2022-07-21,61.26,61.875,60.79,61.36,11959622.0
2022-07-22,61.38,61.87,61.32,61.59,11644691.0
2022-07-25,61.55,62.3,61.31,62.19,14941652.0
2022-07-26,62.75,63.8,62.53,63.21,20117950.0
2022-07-27,62.88,63.185,61.785,63.01,12142874.0
2022-07-28,62.92,64.245,62.89,64.06,10837003.0
2022-07-29,63.71,64.29,63.63,64.17,13734236.0
2022-08-01,64.09,65.04,64.03,64.52,12831535.0
2022-08-02,64.59,64.6,63.43,63.64,15241904.0
2022-08-03,63.55,64.095,63.31,63.92,11316985.0
2022-08-04,63.64,63.73,62.92,63.67,11795647.0
2022-08-05,63.63,63.63,62.67,63.38,10445393.0
2022-08-08,63.5,63.81,62.75,62.97,9166673.0
2022-08-09,63.18,63.31,62.85,63.05,7910877.0
2022-08-10,63.63,63.79,63.1,63.65,8857253.0
2022-08-11,63.69,63.99,63.08,63.22,8507766.0
2022-08-12,63.43,63.76,63.09,63.7,9489284.0
2022-08-15,63.64,64.69,63.57,64.5,9863332.0
2022-08-16,64.57,65.23,64.33,65.03,9569616.0
2022-08-17,64.83,65.22,64.76,64.88,8144045.0
2022-08-18,64.96,65.35,64.71,65.22,6532028.0
2022-08-19,65.205,65.47,64.96,65.17,8921062.0
2022-08-22,64.84,64.92,63.99,64.2,9087893.0
2022-08-23,63.82,64.37,63.68,64.27,8443752.0
2022-08-24,64.24,64.575,64.05,64.36,6844730.0
2022-08-25,64.36,64.705,63.9,64.67,7913869.0
