Date,Open,High,Low,Close,Volume
2022-06-14,169.05,169.32,165.05,166.31,1318775.0
2022-06-15,167.5,168.96,163.56,165.54,1374646.0
2022-06-16,163.26,163.66,160.87,161.38,1451106.0
2022-06-17,161.04,162.59,160.24,161.88,2366792.0
2022-06-21,164.73,164.73,161.25,162.63,1136878.0
2022-06-22,160.87,164.374,160.35,163.15,997332.0
2022-06-23,162.76,163.78,158.35,159.77,1278651.0
2022-06-24,160.25,167.085,160.25,166.72,1296795.0
2022-06-27,167.33,168.23,166.38,167.49,762132.0
2022-06-28,168.43,170.645,167.42,167.47,1061739.0
2022-06-29,167.98,168.45,165.53,165.8,719783.0
2022-06-30,164.61,169.5,163.66,169.13,1336100.0
2022-07-01,168.82,171.96,167.45,171.18,1033561.0
2022-07-05,169.02,169.02,163.93,167.2,1028050.0
2022-07-06,166.78,171.35,166.705,169.9,1366778.0
2022-07-07,172.0,173.21,169.42,169.63,1155052.0
2022-07-08,170.34,171.12,168.92,169.0,689869.0
2022-07-11,168.13,170.42,168.09,168.52,883144.0
2022-07-12,167.18,169.09,164.79,165.28,1032133.0
2022-07-13,164.41,165.48,162.77,163.32,1022300.0
2022-07-14,159.39,160.025,155.31,155.68,1654529.0
2022-07-15,157.13,158.12,155.5101,156.18,1561978.0
2022-07-18,157.24,157.905,154.565,154.99,1098027.0
2022-07-19,156.36,158.58,155.82,158.35,1288252.0
2022-07-20,158.43,158.63,156.36,158.2,1271755.0
2022-07-21,157.18,159.4,152.17,156.83,2080777.0
2022-07-22,157.14,158.2099,155.48,156.42,880992.0
2022-07-25,158.49,160.51,157.57,159.98,1176360.0
2022-07-26,159.76,160.96,159.33,160.86,1107482.0
2022-07-27,161.32,161.66,157.26,158.96,1456404.0
2022-07-28,158.65,158.89,152.11,155.74,1458797.0
2022-07-29,156.05,158.88,156.05,158.7,1361114.0
2022-08-01,157.93,158.19,155.15,156.27,1263324.0
2022-08-02,156.62,159.65,155.99,156.71,1656940.0
2022-08-03,157.44,158.53,155.45,158.12,1142599.0
2022-08-04,157.62,159.56,156.89,157.7,968180.0
2022-08-05,158.27,159.545,157.97,158.96,882311.0
2022-08-08,160.0,161.92,159.7,159.98,915586.0
2022-08-09,161.35,163.57,160.48,162.92,1022291.0
2022-08-10,164.39,165.39,163.91,165.01,1128768.0
2022-08-11,166.0,169.55,166.0,168.81,1301917.0
2022-08-12,169.33,171.63,169.31,171.56,867370.0
2022-08-15,170.09,172.38,169.29,172.16,793279.0
2022-08-16,172.57,174.165,172.28,173.52,1101509.0
2022-08-17,172.69,174.6,172.69,173.96,1564654.0
2022-08-18,174.25,174.77,172.8,174.11,890482.0
2022-08-19,174.06,174.62,172.31,172.64,1022219.0
2022-08-22,171.36,171.36,168.77,169.14,949587.0
2022-08-23,169.71,169.95,168.03,168.29,847027.0
2022-08-24,167.94,168.79,167.235,168.49,723164.0
2022-08-25,168.73,170.06,168.0,168.98,1231296.0
2022-08-26,169.87,169.87,166.82,166.84,1161471.0
2022-08-29,165.22,166.56,163.457,165.36,819567.0
