company,headline,sentiment
3M Corporation,"Dentistry UK
Solventum launches 3M Clarity aligners to UK dentists
Solventum, the company formerly known as 3M Health Care, has launched its new 3M Clarity aligners to the dental professional market.
.
31 Jul 2024",0.8442
3M Corporation,"MassDevice
3M board approves Solventum healthcare spinoff
3M (NYSE: MMM) +. 3M Company $147.873 1.08% Open 144.505 Day High 147.156 52 Week High 128.65 52 Week Low 82.08 announced last week that its board of...
.
11 Mar 2024",0.1531
3M Corporation,"The New York Times
3M Reaches $10.3 Billion Settlement in ‘Forever Chemicals’ Suits (Published 2023)
The chemical and manufacturing giant 3M reached a $10.3 billion settlement on Thursday with US cities and towns over their claims that the company contaminated...
.
22 Jun 2023",0.1531
3M Corporation,"Entrepreneur
3M Stock is Worth a Look Because of the Company it Keeps
3M does business with many of the sectors that feature the disruptive technology which will define the market for years to come. That's why investors should...
.
4 May 2022",-0.1027
3M Corporation,"Supply Chain Dive
3M brings in new procurement head
The company hired Kelly Bysouth, former chief supply chain officer at automotive supplier IAC Group, as SVP of strategic sourcing and packaging solutions.
.
26 Jun 2023",0.1779
3M Corporation,"Morningstar
3M’s Stock Is a Value Trap, as PFAS Settlement Doesn’t End the Risks to Shareholders
We're reducing our fair value estimate for 3M MMM to $121 from $127, based on the company's June 22 $10.3 billion settlement of various lawsuits.
.
23 Jun 2023",0.2732
3M Corporation,"The Motley Fool
Is 3M the Best Value Stock for You?
3M is a value stock, but not a deep-value stock. In other words, it's not the high-risk/high-reward investment many aggressive investors seek.
.
11 Jul 2024",0.2846
3M Corporation,"ESG Today
3M Commits to Reduce Emissions Across the Value Chain by More than 40% by 2030
3M announced a series of new and updated climate-related goals, including a new target to reduce absolute Scope 3 greenhouse gas (GHG) emissions by 42% by 2030.
.
7 Oct 2024",0.3612
3M Corporation,"Barron's
3M’s Healthcare Spinoff Solventum Stock Fell. Here’s What It’s Worth.
Shares of Solventum, 3M's soon-to-be-spun-off healthcare business, started trading this week. The initial stock price was $80, but shares closed their first...
.
27 Mar 2024",0.5927
3M Corporation,"PR Newswire
3M and US Conec Collaborate on Expanded Beam Optical Interconnect Technology for Data Centers
Licensing agreement combines advanced optical innovations from 3M with US Conec's expertise in high-density connectivity solutions for next-generation...
.
19 Dec 2024",0.7096
3M Corporation,"3M News Center
3M cuts the ribbon on $67 million investment at facility in Valley, Nebraska
3M has cut the ribbon on a new 90000-square-foot expansion at the company's facility in Valley, Nebraska, that will increase the plant's manufacturing...
.
9 May 2024",-0.25
3M Corporation,"Thomasnet
3M’s Business Path Proves Endurance Is Worth It
3M is an American multinational corporation that manufactures an extensive range of products for industries including automotive, consumer, manufacturing,...
.
9 Mar 2023",0.2263
3M Corporation,"Zacks Investment Research
3M Company Rises 29.8% in 6 Months: What Should Investors Do?
What would you like to follow? ... 3M Company's ( MMM Quick Quote MMM - Free Report) investors have been witnessing some short-term gains from the stock of late.
.
10 Dec 2024",0.8205
3M Corporation,"Law.com
3M Legal Chief Moves Onto Company's Highest-Paid List After Year of Taming Threats
3M Legal Chief Moves Onto Company's Highest-Paid List After Year of Taming Threats. Chief Legal Affairs Officer Kevin Rhodes ""drove actions to reduce risk and...
.
28 Mar 2024",-0.6369
3M Corporation,"Star Tribune
How a business that looked so good turned so bad for 3M
Earplugs for military use were a small business at company 3M bought in 2008. Today, that business is costing 3M billions.
.
28 Jul 2022",-0.0134
3M Corporation,"IEEE Spectrum
The Rise and Fall of 3M’s Floppy Disk
This history of 3M's tape technology covers Scotch Tape, Scotch 111 reel-to-reel tape and floppy disks, as well as why the high-profile creator of magnetic...
.
2 Apr 2024",0.2732
3M Corporation,"Bloomberg
3M Soars Most Since 1980 as New CEO Offers Glimpse of Turnaround
3M Co.'s stock notched its biggest gain in more than 40 years as investors embraced its new chief executive officer's plan to put the iconic conglomerate...
.
26 Jul 2024",0.5267
3M Corporation,"Forbes
What’s Next For 3M Stock After A 20% Rise Last Week Amid Q2 Beat?
The company reported adjusted revenue of $6.0 billion and earnings of $1.93 on a per-share and adjusted basis, compared to the consensus estimates of $5.9...
.
30 Jul 2024",0.0
3M Corporation,"Reuters
3M, Corteva, Chemours hit with class action over 'forever chemicals' in carpet
3M , Corteva and Chemours were hit with a class action lawsuit on Friday accusing them of covering up the health risks of so-called ""forever chemicals"" used...
.
30 Aug 2024",-0.5719
3M Corporation,"Capital.com
3M Activist Investor | What You Need To Know
We look at the prospects of a 3M activist investor after the investment bank increases its exposure to the conglomerate by 75%. Read on…
.
28 Nov 2022",0.296
3M Corporation,"The American Homefront Project
3M has agreed to pay $6 billion over faulty earplugs. Now, plaintiffs must decide whether to accept.
3M Company has agreed to pay $6 billion to veterans and service members who say their hearing was damaged while they used earplugs made by a subsidiary of the...
.
7 Sept 2023",-0.0516
3M Corporation,"CNN
3M agrees to pay almost $10 million to settle apparent Iran sanctions violations
3M has agreed to pay almost $10 million to settle apparent violations of Iranian sanctions, the US Office of Foreign Assets Control said last week.
.
26 Sept 2023",-0.6124
3M Corporation,"Nasdaq
Is Trending Stock 3M Company (MMM) a Buy Now?
3M (MMM) is one of the stocks most watched by Zacks.com visitors lately. So, it might be a good idea to review some of the factors that might affect the...
.
27 Sept 2024",0.4404
3M Corporation,"The Motley Fool
Is 3M Stock a Buy?
The high-yielding blue chip stock is attracting a lot of interest among income-seeking investors.
.
29 Dec 2023",0.4939
3M Corporation,"Reuters
3M India posts smallest profit growth in nine quarters as costs bite
Diversified products maker 3M India posted on Thursday its smallest profit growth in nine quarters, as surging input costs countered sustained demand for...
.
8 Feb 2024",0.8591
3M Corporation,"Fortune
‘Dividend aristocrat’ no more: 3M slashes payout after more than 60 years of only boosting it
3M Co. plans to slash its dividend, ending more than six decades of boosting the payout each year as it enters a new era following the spinoff of its health-...
.
30 Apr 2024",-0.1477
3M Corporation,"Reuters
3M appoints Otis executive Maheshwari as its new CFO
The company logo and trading information for 3M is displayed on a screen on the floor of the New York Stock Exchange (NYSE) in New York City, U.S.,...
.
1 Aug 2024",0.0
3M Corporation,"Yahoo Finance
Here's Why You Should Hold on to 3M (MMM) Stock Right Now
3M (MMM) benefits from strength in electronics, and automotive and aerospace end markets. Also, the company's measures to reward its shareholders are...
.
13 Jun 2024",0.8591
3M Corporation,"3M News Center
The world stage is set for 3M at CES
3M is back at CES – the most powerful tech event on the planet - and ready to showcase its game-changing innovation to the world.
.
11 Jan 2024",0.8016
3M Corporation,"belganewsagency.eu
3M production process shut down after illegal PFAS emissions
Flemish authorities have shut down part of production at chemical company 3M's plant in Zwijndrecht after detecting illegal emissions of PFAS synthetic...
.
23 Sept 2023",-0.802
3M Corporation,"Analytics India Magazine
How 3M Deploys AI-focussed Tech
Founded in 1902 as the Minnesota Mining and Manufacturing Company, 3M is known for its innovation and the ability to develop new and useful products that...
.
5 Jan 2023",0.7783
3M Corporation,"CNA
Company director admits having almost 10,000 fake 3M masks for sale during COVID-19 pandemic
Enam Ahmed Nayeem Chowdhury pleaded guilty to one count under the Trade Marks Act of being in possession of fake branded goods for sale.
.
15 May 2023",-0.7386
3M Corporation,"Investopedia
3M Completes Health Care Spinoff, and a Court Finalizes 'Forever Chemicals' Settlement
3M completed the spinoff of its health care unit, called Solventum, which began trading on the NYSE and entered the S&P 500 Monday, and the conglomerate...
.
1 Apr 2024",0.7506
3M Corporation,"Yahoo Finance
Is 3M Company (MMM) Best Performing Dow Stock in 2024?
In this article, we will look at where 3M Company (NYSE:MMM) ranks on our list of the best-performing Dow stocks in 2024.
.
28 Sept 2024",0.6369
3M Corporation,"Reuters
Breakingviews - Post-it maker 3M is in danger of coming unstuck
3M's pollution prevention pride came long before its looming fall. The sprawling industrial conglomerate in 1975 helped pioneer corporate sustainability by...
.
19 Jul 2023",-0.3612
3M Corporation,"Forbes
After A 14% Fall This Year Is 3M Stock A Better Pick Over Honeywell?
Given its attractive valuation, we believe 3M stock (NYSE: MMM) is a better pick than its sector peer, Honeywell stock (NYSE: HON).
.
13 Dec 2023",0.8271
3M Corporation,"The Motley Fool
Where Will 3M Be in 1 Year?
One thing is sure: 3M (MMM -1.10%) will look much different at the end of 2024 than when this year finishes. Still, the critical question is whether that's...
.
3 Dec 2023",-0.4404
3M Corporation,"Business Standard
3M India Q1 results: Net profit jumps 22% to Rs 157 cr as expenses ease
3M India reported on Tuesday a 22 per cent jump in its first-quarter profit, as a decrease in total expenses helped lift the diversified products maker's...
.
6 Aug 2024",0.8074
3M Corporation,"Reuters
3M names Bryan Hanson as CEO of its health care business
3M Co said on Tuesday that Bryan Hanson would be the chief executive officer of the healthcare company it plans to spin off.
.
22 Aug 2023",0.4939
